# source=Generated from data/ammo/ JSON + validate_and_clean_tsv.py
model	bullet_diameter_mm	projectile_mass_g	bc_g1	bc_g7	drag_model
cmgravityburstdebris	7.62	9.5	0.15	0	1
cmlightfakeammo	7.62	9.5	0.15	0	1
countermeasuretrigger76mmrpdm35	5.56	4.0	0.151	0	1
f20mmgreen	20.0	100.0	0	0.8	7
f20mmgreenillumination	20.0	100.0	0	0.8	7
f20mmgreenilluminationinfinite	20.0	100.0	0	0.8	7
f20mmgreeninfinite	20.0	100.0	0	0.8	7
f20mmred	20.0	100.0	0	0.8	7
f20mmredillumination	20.0	100.0	0	0.8	7
f20mmredilluminationinfinite	20.0	100.0	0	0.8	7
f20mmredinfinite	20.0	100.0	0	0.8	7
f20mmwhite	20.0	100.0	0	0.8	7
f20mmwhiteillumination	20.0	100.0	0	0.8	7
f20mmwhiteilluminationinfinite	20.0	100.0	0	0.8	7
f20mmwhiteinfinite	20.0	100.0	0	0.8	7
f20mmyellow	20.0	100.0	0	0.8	7
f20mmyellowillumination	20.0	100.0	0	0.8	7
f20mmyellowilluminationinfinite	20.0	100.0	0	0.8	7
f20mmyellowinfinite	20.0	100.0	0	0.8	7
f40mmcir	40.0	230.0	0	0	1
f40mmcirinfinite	40.0	230.0	0	0	1
f40mmgreen	40.0	100.0	0	0	7
f40mmgreenillumination	40.0	230.0	0	0	1
f40mmgreenilluminationinfinite	40.0	230.0	0	0	1
f40mmgreeninfinite	40.0	230.0	0	0	1
f40mmred	40.0	100.0	0	0	7
f40mmredillumination	40.0	230.0	0	0	1
f40mmredilluminationinfinite	40.0	230.0	0	0	1
f40mmredinfinite	40.0	230.0	0	0	1
f40mmwhite	40.0	230.0	0	0	1
f40mmwhiteillumination	40.0	230.0	0	0	1
f40mmwhiteilluminationinfinite	40.0	230.0	0	0	1
f40mmwhiteinfinite	40.0	230.0	0	0	1
f40mmyellow	40.0	230.0	0	0	1
f40mmyellowillumination	40.0	230.0	0	0	1
f40mmyellowilluminationinfinite	40.0	230.0	0	0	1
f40mmyellowinfinite	40.0	230.0	0	0	1
fab250ammo	12.7	41.9	0	0.67	7
fab500ammo	12.7	41.9	0	0.67	7
fakeammo	7.62	9.5	0.15	0	1
fakeshell	7.62	9.5	0.15	0	1
fim92ammo	9.0	8.0	0	0.165	7
flak36explosion	7.62	9.5	0.15	0	1
flak36explosiondummy	7.62	9.5	0.15	0	1
flak38explosion	7.62	9.5	0.15	0	1
flak38explosiondummy	7.62	9.5	0.15	0	1
flakexplosion	7.62	9.5	0.15	0	1
flakexplosion2	7.62	9.5	0.15	0	1
flarebullet265mmbase	6.5	8.0	0	0.26	7
flarebullet265mmsmokesingleblkgc	6.5	8.0	0	0.26	7
flarebullet265mmsmokesingleblugc	6.5	8.0	0	0.26	7
flarebullet265mmsmokesingleorgdm22	6.5	8.0	0	0.26	7
flarebullet265mmsmokesinglevltdm24	6.5	8.0	0	0.26	7
flarebullet265mmsmokesingleyeldm19	6.5	8.0	0	0.26	7
flarebullet265mmsmokesingleyelgc	6.5	8.0	0	0.26	7
flaretripminewireammo	9.0	8.0	0	0.165	7
flaretripminewireammogreen	9.0	8.0	0	0.165	7
flaretripminewireammored	9.0	8.0	0	0.165	7
flechetteairburstdeployrocket57mm	5.7	2.0	0.13	0	1
flechetteairburstdeployrocket57mmdarts	5.7	2.0	0.13	0	1
flechetteairburstdeployrocket57mmshell	5.7	2.0	0.13	0	1
fragbase	6.706	7.9704	0	0.263	7
fragconcretespallhuge	6.706	7.9704	0	0.263	7
fragconcretespalllarge	6.706	7.9704	0	0.263	7
fragconcretespallmedium	6.706	7.9704	0	0.263	7
fragconcretespallsmall	6.706	7.9704	0	0.263	7
fragconcretespalltiny	6.706	7.9704	0	0.263	7
fraggroundspallhuge	6.706	7.9704	0	0.263	7
fraggroundspalllarge	6.706	7.9704	0	0.263	7
fraggroundspallmedium	6.706	7.9704	0	0.263	7
fraggroundspallsmall	6.706	7.9704	0	0.263	7
fraggroundspalltiny	6.706	7.9704	0	0.263	7
fraghuge	6.706	7.9704	0	0.263	7
fraghugehd	6.706	7.9704	0	0.263	7
fraglarge	6.706	7.9704	0	0.263	7
fraglargehd	6.706	7.9704	0	0.263	7
fragmedium	6.706	7.9704	0	0.263	7
fragmediumhd	6.706	7.9704	0	0.263	7
fragmetalspallhuge	6.706	7.9704	0	0.263	7
fragmetalspalllarge	6.706	7.9704	0	0.263	7
fragmetalspallmedium	6.706	7.9704	0	0.263	7
fragmetalspallsmall	6.706	7.9704	0	0.263	7
fragmetalspalltiny	6.706	7.9704	0	0.263	7
fragrockspallhuge	6.706	7.9704	0	0.263	7
fragrockspalllarge	6.706	7.9704	0	0.263	7
fragrockspallmedium	6.706	7.9704	0	0.263	7
fragrockspallsmall	6.706	7.9704	0	0.263	7
fragrockspalltiny	6.706	7.9704	0	0.263	7
fragsmall	6.706	7.9704	0	0.263	7
fragsmallhd	6.706	7.9704	0	0.263	7
fragspallbase	6.706	7.9704	0	0.263	7
fragtiny	6.706	7.9704	0	0.263	7
fragtinyhd	6.706	7.9704	0	0.263	7
fragwoodspallhuge	6.706	7.9704	0	0.263	7
fragwoodspalllarge	6.706	7.9704	0	0.263	7
fragwoodspallmedium	6.706	7.9704	0	0.263	7
fragwoodspallsmall	6.706	7.9704	0	0.263	7
fragwoodspalltiny	6.706	7.9704	0	0.263	7
g40mmfw	40.0	230.0	0	0	1
g40mmhe	40.0	230.0	0	0.458	7
g40mmhedp	40.0	230.0	0	0.458	7
g40mmhedpbullet	40.0	230.0	0	0.458	7
g40mmpractice	40.0	190.0	0	0.458	7
g40mmsmoke	40.0	230.0	0	0	1
g40mmsmokeblue	40.0	230.0	0	0	1
g40mmsmokeblueinfinite	40.0	230.0	0	0	1
g40mmsmokegreen	40.0	230.0	0	0	1
g40mmsmokegreeninfinite	40.0	230.0	0	0	1
g40mmsmokeinfinite	40.0	230.0	0	0	1
g40mmsmokeorange	40.0	230.0	0	0	1
g40mmsmokeorangeinfinite	40.0	230.0	0	0	1
g40mmsmokepurple	40.0	230.0	0	0	1
g40mmsmokepurplecontact	40.0	230.0	0	0	1
g40mmsmokepurpleinfinite	40.0	230.0	0	0	1
g40mmsmokered	40.0	230.0	0	0	1
g40mmsmokeredinfinite	40.0	230.0	0	0	1
g40mmsmokeyellow	40.0	230.0	0	0	1
g40mmsmokeyellowinfinite	40.0	230.0	0	0	1
ganm14	7.62	9.5	0	0.243	7
gatling30mmapplanecas01f	30.0	395.0	0	1.0	7
gatling30mmheplanecas01f	30.0	360.0	0	1.0	7
gm14	7.62	9.5	0	0.243	7
gm21a1	12.7	41.9	0	0.67	7
gm9a1	9.0	8.0	0	0.165	7
gm9a1penetrator	9.0	8.0	0	0.165	7
grc40fakerf	7.62	9.5	0.15	0	1
grc40hefakerf	7.62	9.5	0.15	0	1
grc40smokebluefakerf	7.62	9.5	0.15	0	1
grc40smokegreenfakerf	7.62	9.5	0.15	0	1
grc40smokeorangefakerf	7.62	9.5	0.15	0	1
grc40smokeredfakerf	7.62	9.5	0.15	0	1
grc40smokewhitefakerf	7.62	9.5	0.15	0	1
grszorange350	12.7	41.9	0	0.67	7
handgrenadefragdm41	5.56	4.0	0.151	0	1
handgrenadefragdm41a1	5.56	4.0	0.151	0	1
handgrenadefragm26	12.7	41.9	0	0.67	7
handgrenadefragm26a1	12.7	41.9	0	0.67	7
lxwsbsghe	17.5	28.35	0.11	0	1
lxwsbsgsmoke	17.5	28.35	0.11	0	1
lxwsg40mmhe	40.0	230.0	0	0	1
lxwsg50mmat	12.7	41.9	0	0.67	7
lxwsg50mmsmoke	12.7	41.9	0	0.67	7
lxwsgied40mmhe	40.0	230.0	0	0	1
lxwsgied50mmat	12.7	41.9	0	0.67	7
lxwsgied50mmsmoke	12.7	41.9	0	0.67	7
lxwsshotgunbase	18.5	28.0	0.04	0	1
m120mmcannonatgm	20.0	100.0	0	0.8	7
m120mmcannonatgmlg	20.0	100.0	0	0.8	7
m125mmcannonatgm	25.0	230.0	0	0.9	7
m127mmfirefistat	12.7	41.9	0	0.67	7
m127rocketammo	12.7	41.9	0	0.67	7
m14mineammo	7.62	9.5	0	0.2	7
m20	12.7	41.9	0	0.67	7
m20a1b1heatammo	12.7	41.9	0	0.67	7
m20a1b1wpammo	12.7	41.9	0	0.67	7
m229ammo	12.7	41.9	0	0.67	7
m247ammo	12.7	41.9	0	0.67	7
m255ammo	12.7	41.9	0	0.67	7
m26ammo	12.7	41.9	0	0.67	7
m26ammobase	12.7	41.9	0	0.67	7
m2a3efp	50.0	40.0	0	0.35	7
m2flamethrowerammo	12.7	41.9	0	0.67	7
m39	7.62	9.5	0	0.2	7
m3m1he	11.43	14.9	0.155	0	1
m3m1hearty	11.43	14.9	0.155	0	1
m3m60wp	7.62	9.5	0	0.2	7
m3m60wparty	7.62	9.5	0	0.2	7
m3m67heat	11.43	14.9	0.155	0	1
m3m67heatartillery	11.43	14.9	0.155	0	1
m3m67heatpenetrator	11.43	14.9	0.155	0	1
m3m84smk	11.43	14.9	0.155	0	1
m3m84smkartillery	11.43	14.9	0.155	0	1
m3m84smksubmunition	11.43	14.9	0.155	0	1
m430	5.56	4.0	0.151	0	1
m43a1	5.56	4.0	0.151	0	1
m47ammo	5.56	4.0	0.151	0	1
m48he	5.56	4.0	0.151	0	1
m48hearty	5.56	4.0	0.151	0	1
m5781wp	5.56	4.0	0.151	0	1
m72fakeammo	7.62	9.5	0.15	0	1
m791	40.0	230.0	0	0.2	7
m792	7.62	9.5	0.15	0	1
m829	12.7	41.9	0	0.67	7
m829green	12.7	41.9	0	0.67	7
m829red	12.7	41.9	0	0.67	7
m829yellow	12.7	41.9	0	0.67	7
mag100rnd762x51m80	7.62	9.5	0	0.2	7
mag100rnd762x54	7.62	9.85	0	0.216	1
mag30rnd545x397n10ak	5.45	3.56	0	0.176	7
mag30rnd545x39ak	5.45	3.43	0	0.168	7
mag30rnd556x45m855stanag	5.56	4.0	0	0.151	7
mag30rnd762x39mm	7.62	7.97	0	0.148	7
mk1udgammo	5.56	4.0	0.151	0	1
mmo120mmat	20.0	100.0	0	0.8	7
mmo120mmatlg	20.0	100.0	0	0.8	7
mmo230mmat	30.0	350.0	0	1.0	7
mmo230mmatlg	30.0	350.0	0	1.0	7
mmo230mmguided	30.0	350.0	0	1.0	7
mnlawatf	40.0	230.0	0	0.2	7
moclusterwp1	9.0	8.0	0	0.165	7
moclusterwp2	9.0	8.0	0	0.165	7
moclusterwpmedium2	12.7	41.9	0	0.67	7
mtitanaalong	40.0	230.0	0	0.2	7
mtitanat	40.0	230.0	0	0.2	7
mtitanatlong	40.0	230.0	0	0.2	7
mtitanatstatic	40.0	230.0	0	0.2	7
mvoronahe	40.0	230.0	0	0.2	7
mvoronaheat	40.0	230.0	0	0.2	7
nbp27ammo	9.0	8.0	0	0.165	7
nc250bomb	12.7	41.9	0	0.67	7
nc50bomb	12.7	41.9	0	0.67	7
ofab500ammo	12.7	41.9	0	0.67	7
ppminacharge	9.0	8.0	0	0.165	7
ppmisr2charge	9.0	8.0	0	0.165	7
ptmiba3fake	7.62	9.5	0.15	0	1
pzgr39flak36ap	7.62	9.5	0.15	0	1
pzgr40flak36apcr	7.62	9.5	0.15	0	1
pzgrflak38apt	7.62	9.5	0.15	0	1
pzgrflak38aptappenetrator	7.62	9.5	0.15	0	1
r230mmcluster	30.0	350.0	0	1.0	7
r230mmhe	30.0	350.0	0	1.0	7
r230mmlg	30.0	350.0	0	1.0	7
r88mmrpzbgr4322	7.62	9.5	0.15	0	1
r88mmrpzbgrpenetrator	7.62	9.5	0.15	0	1
rauchsichtzeichenorange350	12.7	41.9	0	0.67	7
rocket2650mmpotatobase	6.5	8.0	0	0.26	7
rocket2650mmpotatodm11	6.5	8.0	0	0.26	7
rocket40mmheatbase	40.0	230.0	0	0	1
rocket40mmheatpg7v	40.0	230.0	0	0	1
rocket40mmheatpg7vl	40.0	230.0	0	0	1
rocket44x537mmheatbase	0.4	10.0	0	0.2	7
rocket44x537mmheatdm32	0.4	10.0	0	0.2	7
rocket60mmheatdm22	12.7	41.9	0	0.67	7
rocket60mmheatdm32	11.43	14.9	0	0.155	7
rocket64mmheatpg18	9.0	8.0	0	0.165	7
rocket64mmheatpg18base	9.0	8.0	0	0.165	7
rocket66mmheatm72a3	5.56	4.0	0.151	0	1
rocket72mmhe9m32m	11.43	14.9	0	0.155	7
rocket72mmhe9m32mbase	11.43	14.9	0	0.155	7
rocket84x245mmheatbase	11.43	14.9	0.155	0	1
rocket84x245mmheattdm12	11.43	14.9	0.155	0	1
rocket84x245mmheattdm12a1	11.43	14.9	0.155	0	1
rocket84x245mmheattdm22	11.43	14.9	0.155	0	1
rocket84x245mmheattdm32	11.43	14.9	0.155	0	1
rocket84x245mmillumbase	11.43	14.9	0.155	0	1
rocket84x245mmillumdm16	5.56	4.0	0.151	0	1
rocketffarm229heammo	12.7	41.9	0	0.67	7
rocketmlrs110mmhedm21	12.7	41.9	0	0.67	7
rocketmlrs110mmicmdm602	7.62	9.5	0	0.2	7
rocketmlrs122mmhe9m22u	12.7	41.9	0	0.67	7
rocketmlrs122mmicm9m218	12.7	41.9	0	0.67	7
rocketmlrs122mmsmoke9m43	5.56	4.0	0.151	0	1
rpg29	105.0	4500.0	0	0.58	7
rpg75ammo	7.62	9.5	0.15	0	1
s37l57m2canister	12.7	41.9	0	0.67	7
s37l57m2canistersubmunition	12.7	41.9	0	0.67	7
s37l57m51	5.56	4.0	0.151	0	1
s37l57m51penetrator	5.56	4.0	0.151	0	1
s37l57m63	5.56	4.0	0.151	0	1
s37l57m74	5.56	4.0	0.151	0	1
s37l57m74penetrator	5.56	4.0	0.151	0	1
s50l60pzgr	12.7	41.9	0	0.67	7
s50l60sprgr38	12.7	41.9	0	0.67	7
sc250bomb	12.7	41.9	0	0.67	7
sc250timedlongbomb	12.7	41.9	0	0.67	7
sc250timedshortbomb	12.7	41.9	0	0.67	7
sc500bomb	12.7	41.9	0	0.67	7
sc500timedlongbomb	12.7	41.9	0	0.67	7
sc500timedshortbomb	12.7	41.9	0	0.67	7
sc50bomb	12.7	41.9	0	0.67	7
sc50timedlongbomb	12.7	41.9	0	0.67	7
sc50timedshortbomb	12.7	41.9	0	0.67	7
sh762mmaphet	7.62	9.5	0.15	0	1
sh762mmapt	7.62	9.5	0.15	0	1
sh762mmhe	7.62	9.5	0.15	0	1
sh762mmheat	7.62	9.5	0.15	0	1
sh762mmhvapt	7.62	9.5	0.15	0	1
sh762mmwp	7.62	9.5	0.15	0	1
sh76mmapt	5.56	4.0	0.151	0	1
sh76mmcan	5.56	4.0	0.151	0	1
sh76mmhe	5.56	4.0	0.151	0	1
sh76mmheat	5.56	4.0	0.151	0	1
sh76mmhvapdst	5.56	4.0	0.151	0	1
sh76mmwp	5.56	4.0	0.151	0	1
shm43a181he	5.56	4.0	0.151	0	1
shm43a181hesubmunition	5.56	4.0	0	0.151	7
shm5781smk	5.56	4.0	0.151	0	1
shotgunbase	18.5	28.0	0.04	0	1
shotguncore	18.5	28.0	0.04	0	1
smoke120mmamoswhite	20.0	100.0	0	0.8	7
smokeshell76mmrpdm35	5.56	4.0	0.151	0	1
smokeshellgrndm21	12.7	41.9	0	0.67	7
smokeshellorgdm32	11.43	14.9	0	0.155	7
smokeshellreddm23	12.7	41.9	0	0.67	7
smokeshellwhtdm25	12.7	41.9	0	0.67	7
smokeshellyeldm26	12.7	41.9	0	0.67	7
sprgrflak36he	7.62	9.5	0.15	0	1
sprgrflak36heaa	7.62	9.5	0.15	0	1
sprgrflak36heaadummy	7.62	9.5	0.15	0	1
sprgrflak36heaasubdummy	7.62	9.5	0.15	0	1
sprgrflak36hearty	7.62	9.5	0.15	0	1
sprgrflak38	7.62	9.5	0.15	0	1
sprgrflak38dummy	7.62	9.5	0.15	0	1
sprgrflak38subdummy	7.62	9.5	0.15	0	1
subfsignalgreen	9.042	7.452	0.17	0	1
subfsignalred	9.042	7.452	0.17	0	1
t45m1apcr	11.43	14.9	0.155	0	1
t45m1apcrpenetrator	11.43	14.9	0.155	0	1
us500lbbomb	12.7	41.9	0	0.67	7
us500lbtimedlongbomb	12.7	41.9	0	0.67	7
us500lbtimedshortbomb	12.7	41.9	0	0.67	7
usanm14	7.62	9.5	0	0.243	7
usanm14instant	7.62	9.5	0	0.243	7
usm3ammo	11.43	14.9	0.155	0	1
usm3pressureammo	11.43	14.9	0.155	0	1
usmk1flare	5.56	4.0	0.151	0	1
vog17ammo	9.0	8.0	0	0.165	7
