# source=Extracted from Arma 3 PBO config dumps via SQF/config parser; RHA values calibrated against NIJ 0101.06, NIJ 0108.01
# confidence=Estimated for vanilla items, researched for DLC/CDLC items (see data/armor/standards/ & data/sources/)
# classname	item_type	clothing_category	primary_material	backing_material	thickness_mm	nij_rating	rha_mm	confidence	manufacturer	model	camo
Maritime_NR_ComtacIV153654_manta	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV164575	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV164575_manta	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV165	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV173	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV182	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV184322	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV184322_manta	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV19	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV2	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV20	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV21	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV22	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV23	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV24	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV3	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV31	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV32	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV33	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV34	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV35	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV36	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV4	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV5	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV6	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV7	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV8	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Maritime_NR_ComtacIV9	Headgear	headwear	rubber_elastomer		2800.0	III	42	0.70	Peltor	ComTac	
Marko_ChestyRig	Vest	plate_carrier	ceramic_sic	uhmwpe	29.3	IV	102	0.50	Generic	Marko Chestyrig	
Marko_ChestyRig_NB	Vest	plate_carrier	ceramic_sic	uhmwpe	29.3	IV	102	0.50	Generic	Marko Chestyrig Nb	
Marne_Rugby_SS_P	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	
Mask_M40_OD	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Mask M40	Olive Drab
Mills_AVS	Vest	plate_carrier	ceramic_sic	uhmwpe	29.3	IV	102	0.59	Crye Precision	AVS	
Mills_AVS_NB	Vest	plate_carrier	ceramic_sic	uhmwpe	29.3	IV	102	0.59	Crye Precision	AVS	
Mills_Belt	Vest	plate_carrier	ceramic_sic	uhmwpe	29.3	IV	102	1.00	Crye Precision	G3 Combat Uniform	
Multicam_Alpine_casual_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	MultiCam Alpine
Multicam_Arid_Black_casual_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	MultiCam Arid
Multicam_Arid_Blue_casual_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	MultiCam Arid
Multicam_Arid_casual_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	MultiCam Arid
Multicam_black_casual_Camo	Uniform	uniform	cloth		0.0	N/A	0	0.71	Crye Precision	G3 Combat Uniform	MultiCam Black
NAVSPECWARGRU2_P320_Holster	Vest	armored_vest	spall_liner		0.0	N/A	0	0.59	Crye Precision	AVS	
NWTS_goggle_deer	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Nwts Goggle Deer	
NWTS_goggle_deer_bloody	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Nwts Goggle Deer Bloody	
NWTS_goggle_deer_glow	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Nwts Goggle Deer Glow	
NWTS_goggle_deer_mossy	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Nwts Goggle Deer Mossy	
NWTS_goggle_human_bloody	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Nwts Goggle Human Bloody	
NWTS_goggle_human_bloody_glow	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Nwts Goggle Human Bloody Glow	
NWTS_goggle_human_simple	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Nwts Goggle Human Simple	
NWTS_goggle_human_simple_glow	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Nwts Goggle Human Simple Glow	
NeckTight_DMBLK	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_DMCLR	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_DMO	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_Dmaripat	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_Gry	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Grey
NeckTight_GryBLK	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_GryCLR	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_GryO	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_OD	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Olive Drab
NeckTight_ODBLK	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Olive Drab
NeckTight_ODCLR	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Olive Drab
NeckTight_ODO	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Olive Drab
NeckTight_Red	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_Tan	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_TanBLK	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_TanCLR	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_TanO	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
NeckTight_WhiteBLK	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	White
NeckTight_WhiteCLR	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	White
NeckTight_WhiteO	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	White
OHScarfHat_blk_blk	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat	Black
OHScarfHat_blk_brn	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Blk Brn	Black
OHScarfHat_blk_gry	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat	Black
OHScarfHat_blk_nav	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Blk Nav	Black
OHScarfHat_brn_blk	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Brn	Black
OHScarfHat_brn_brn	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Brn Brn	
OHScarfHat_brn_gry	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Brn	Grey
OHScarfHat_brn_nav	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Brn Nav	
OHScarfHat_gry_blk	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat	Black
OHScarfHat_gry_brn	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Gry Brn	Grey
OHScarfHat_gry_gry	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat	Grey
OHScarfHat_gry_nav	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Gry Nav	Grey
OHScarfHat_nav_blk	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Nav	Black
OHScarfHat_nav_brn	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Nav Brn	
OHScarfHat_nav_gry	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Nav	Grey
OHScarfHat_nav_nav	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Nav Nav	
OHScarfHat_pat1_blk	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Pat1	Black
OHScarfHat_pat1_brn	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Pat1 Brn	
OHScarfHat_pat1_gry	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Pat1	Grey
OHScarfHat_pat1_nav	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Pat1 Nav	
OHScarfHat_pat2_blk	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Pat2	Black
OHScarfHat_pat2_brn	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Pat2 Brn	
OHScarfHat_pat2_gry	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Pat2	Grey
OHScarfHat_pat2_nav	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Pat2 Nav	
OHScarfHat_patgrn_blk	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patgrn	Black
OHScarfHat_patgrn_brn	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patgrn Brn	
OHScarfHat_patgrn_gry	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patgrn	Grey
OHScarfHat_patgrn_nav	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patgrn Nav	
OHScarfHat_patgry_blk	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patgry	Black
OHScarfHat_patgry_brn	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patgry Brn	
OHScarfHat_patgry_gry	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patgry	Grey
OHScarfHat_patgry_nav	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patgry Nav	
OHScarfHat_patred_blk	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patred	Black
OHScarfHat_patred_brn	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patred Brn	
OHScarfHat_patred_gry	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patred	Grey
OHScarfHat_patred_nav	Headgear	hat	cloth		0.0	N/A	0	0.30	Generic	Ohscarfhat Patred Nav	
OHScarf_NC_blk	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Nc	Black
OHScarf_NC_brn	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Nc Brn	
OHScarf_NC_gry	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Nc	Grey
OHScarf_NC_nav	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Nc Nav	
OHScarf_NC_pat1	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Nc Pat1	
OHScarf_NC_pat2	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Nc Pat2	
OHScarf_NC_patgrn	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Nc Patgrn	
OHScarf_NC_patgry	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Nc Patgry	
OHScarf_NC_patred	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Nc Patred	
OHScarf_blk	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf	Black
OHScarf_brn	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Brn	
OHScarf_gry	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf	Grey
OHScarf_nav	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Nav	
OHScarf_pat1	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Pat1	
OHScarf_pat2	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Pat2	
OHScarf_patgrn	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Patgrn	
OHScarf_patgry	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Patgry	
OHScarf_patred	Headgear	headwear	cloth		0.0	N/A	0	0.30	Generic	Ohscarf Patred	
OPTRE_EyePiece	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Eyepiece	
OPTRE_Glasses_Cigarette	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.77	Generic	Cigarette	
OPTRE_HUD_Glasses	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.30	Generic	Hud Glasses	
PLP_G_B_Diving_inv	Glasses	diving_mask	polycarbonate		0.0	N/A	0	0.68	Generic	Diving Mask	
PLP_G_I_Diving_inv	Glasses	diving_mask	polycarbonate		0.0	N/A	0	0.68	Generic	Diving Mask	
PLP_G_O_Diving_inv	Glasses	diving_mask	polycarbonate		0.0	N/A	0	0.68	Generic	Diving Mask	
PU_shemagh_GryBLK	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Grey
PU_shemagh_GryCLR	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Grey
PU_shemagh_GryO	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Grey
PU_shemagh_OD	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Olive Drab
PU_shemagh_ODBLK	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Olive Drab
PU_shemagh_ODCLR	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Olive Drab
PU_shemagh_ODO	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	Olive Drab
PU_shemagh_Tan	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
PU_shemagh_TanBLK	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
PU_shemagh_TanCLR	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
PU_shemagh_TanO	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	
PU_shemagh_WhiteBLK	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	White
PU_shemagh_WhiteCLR	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	White
PU_shemagh_WhiteO	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.65	Generic	Shemagh	White
RAF_Cap_7Blk	Headgear	cap	cloth		0.0	N/A	0	0.30	Generic	Raf Cap 7Blk	Black
RF_Bandana_marpat	Headgear	headwear	cloth		1200.0	N/A	12	0.71	Generic	Bandanna	MARPAT
RF_Boina_bope	Headgear	headwear	cloth		1200.0	N/A	12	0.30	Generic	Boina Bope	
RF_Boina_choque	Headgear	headwear	cloth		1200.0	N/A	12	0.30	Generic	Boina Choque	
RF_Bone_pmerj	Headgear	headwear	cloth		1200.0	N/A	12	0.30	Generic	Bone Pmerj	
RF_Booniehat_marpat	Headgear	boonie_hat	cloth		1200.0	N/A	12	0.77	Generic	Boonie Hat	MARPAT
RF_CC_MAC10	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Cc Mac10	
RF_CC_MTl2	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Cc Mtl2	
RF_CC_glock	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Cc Glock	
RF_CF_Bope_Camo_Parafal	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Cf Bope Camo Parafal	
RF_CF_Bope_Preto_UIT_Parafal	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Cf Bope Preto Uit Parafal	
RF_CF_Choque_Parafal	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Cf Choque Parafal	
RF_CF_PMERJ_FAL	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Cf Pmerj Fal	
RF_Cinto_Tatico	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Cinto Tatico	
RF_Colete_Bope_Plate_camo	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Bope Plate	
RF_Colete_Bope_Plate_tan	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Bope Plate	
RF_Colete_Bope_Tatico	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Bope Tatico	
RF_Colete_Bope_Tatico_tan	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Bope Tatico	
RF_Colete_Bope_carrier_camo	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Bope Carrier	
RF_Colete_Bope_carrier_lite_camo	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Bope Carrier Lite	
RF_Colete_Bope_carrier_lite_tan	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Bope Carrier Lite	
RF_Colete_Bope_carrier_preto	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Bope Carrier Preto	
RF_Colete_Bope_carrier_tan	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Bope Carrier	
RF_Colete_Policia	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Policia	
RF_Colete_Policia_Civil	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Policia Civil	
RF_Colete_Policia_Militar	Vest	plate_carrier	ceramic_al2o3	uhmwpe	24.4	III	61	0.45	Generic	Colete Policia Militar	
RF_GA_Jeans	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Ga Jeans	
RF_GA_MT12	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Ga Mt12	
RF_GA_Parafal	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Ga Parafal	
RF_GA_glock	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Ga Glock	
RF_RM_PCERJ_Pistola	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rm Pcerj Pistola	
RF_RM_PMERJ_Cabo	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rm Pmerj Cabo	
RF_RM_PMERJ_Sarg	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rm Pmerj Sarg	
RF_RM_PMERJ_Sol	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rm Pmerj Sol	
RHS_jetpilot_usaf	Headgear	headwear	cloth		1200.0	N/A	12	0.30	Generic	Jetpilot Usaf	
RS_BUDS_Belt_01	Vest	plate_carrier	ceramic_sic	uhmwpe	31.4	IV	110	0.50	Generic	Rs Buds Belt 01	
RS_BUDS_Lifejacket	Vest	armored_vest	spall_liner		0.0	N/A	0	0.30	Generic	Rs Buds Lifejacket	
RS_Buds_Helmet	Headgear	ballistic_helmet	cloth		0.0	N/A	0	0.30	Generic	Rs Buds Helmet	
RS_Class_230_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Class 230 Uniform	White
RS_Class_230a_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Class 230A Uniform	
RS_Instructor_Shirt_ADAMS	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Instructor Shirt Adams	
RS_Instructor_Shirt_CAULDER	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Instructor Shirt Caulder	
RS_Instructor_Shirt_JEB	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Instructor Shirt Jeb	
RS_Instructor_Shirt_ORILEY	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Instructor Shirt Oriley	
RS_Instructor_Shirt_ROLA	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Instructor Shirt Rola	
RS_Instructor_Shirt_RUPP	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Instructor Shirt Rupp	
RS_Instructor_Shirt_STANMAN	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Instructor Shirt Stanman	
RS_Instructor_Shirt_TAYLOR	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Instructor Shirt Taylor	
RS_Shirt010_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Shirt010 Uniform	
RS_Shirt01_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Shirt01 Uniform	
RS_Shirt02_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Shirt02 Uniform	
RS_Shirt03_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Shirt03 Uniform	
RS_Shirt04_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Shirt04 Uniform	
RS_Shirt05_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Shirt05 Uniform	
RS_Shirt06_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Shirt06 Uniform	
RS_Shirt07_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Shirt07 Uniform	
RS_Shirt08_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Shirt08 Uniform	
RS_Shirt09_Uniform	Uniform	uniform	cloth		0.0	N/A	0	0.30	Generic	Rs Shirt09 Uniform	
Roll_MCB_AVS	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	AVS	
Roll_MCB_AVS_front	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	AVS	
Roll_MCB_JPC	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	JPC	
Roll_MCB_JPC_front	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	JPC	
Roll_MC_AVS	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	AVS	
Roll_MC_AVS_front	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	AVS	
Roll_MC_JPC	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	JPC	
Roll_MC_JPC_front	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	JPC	
Roll_RGR_AVS	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	AVS	Ranger Green
Roll_RGR_AVS_front	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	AVS	Ranger Green
Roll_RGR_JPC	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	JPC	Ranger Green
Roll_RGR_JPC_front	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	JPC	Ranger Green
Roll_cb_AVS	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	AVS	Coyote Brown
Roll_cb_AVS_front	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	AVS	Coyote Brown
Roll_cb_JPC	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	JPC	Coyote Brown
Roll_cb_JPC_front	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	JPC	Coyote Brown
Roll_grey_AVS	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	AVS	
Roll_grey_AVS_front	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	AVS	
Roll_grey_JPC	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	JPC	
Roll_grey_JPC_front	Glasses	eyewear	polycarbonate		0.0	N/A	0	0.59	Crye Precision	JPC	
Ronin_Belt_ALP_1	Vest	armored_vest	spall_liner		800.0	IV	80	0.30	Generic	Ronin Belt Alp 1	Alpine
Ronin_Belt_ALP_10	Vest	armored_vest	spall_liner		800.0	IV	80	0.30	Generic	Ronin Belt Alp 10	Alpine
Ronin_Belt_ALP_2	Vest	armored_vest	spall_liner		800.0	IV	80	0.30	Generic	Ronin Belt Alp 2	Alpine
Ronin_Belt_ALP_5	Vest	armored_vest	spall_liner		800.0	IV	80	0.30	Generic	Ronin Belt Alp 5	Alpine
Ronin_Belt_ALP_6	Vest	armored_vest	spall_liner		800.0	IV	80	0.30	Generic	Ronin Belt Alp 6	Alpine
Ronin_Belt_ALP_7	Vest	armored_vest	spall_liner		800.0	IV	80	0.30	Generic	Ronin Belt Alp 7	Alpine
Ronin_Belt_ALP_8	Vest	armored_vest	spall_liner		800.0	IV	80	0.30	Generic	Ronin Belt Alp 8	Alpine
Ronin_Belt_ALP_9	Vest	armored_vest	spall_liner		800.0	IV	80	0.30	Generic	Ronin Belt Alp 9	Alpine
